# check_god_class_size.py baseline
# Format: <relative-path>:LOC=NNN deps=MMM
# NEW file added OR existing file growing beyond LOC will fail CI.
src/Service/PolicyWizard/DocumentGenerator.php:LOC=1901 deps=16
src/Service/ComplianceWizard/CategoryProvider/EuRegulatoryFrameworkCategoryProvider.php:LOC=1842 deps=4
src/Controller/DeploymentWizardController.php:LOC=1753 deps=0
src/Service/DashboardStatisticsService.php:LOC=1746 deps=26
src/Controller/RiskController.php:LOC=1616 deps=0
src/Controller/ComplianceExportController.php:LOC=1591 deps=0
src/Service/Export/CertificationBundleExporter.php:LOC=1573 deps=19
src/Controller/PolicyWizardController.php:LOC=1435 deps=0
src/Service/Search/SearchService.php:LOC=1416 deps=33
src/Controller/DocumentController.php:LOC=1348 deps=0
src/Service/MyDayAggregator.php:LOC=1304 deps=25
src/Controller/ManagementReportController.php:LOC=1294 deps=0
src/Controller/Admin/DataRepairController.php:LOC=1278 deps=0
src/Service/ManagementReportService.php:LOC=1164 deps=20
src/Service/ComplianceWizard/CoverageCheckService.php:LOC=1077 deps=24
src/Controller/UserManagementController.php:LOC=1025 deps=0
src/Controller/IncidentController.php:LOC=956 deps=0
src/Controller/TenantManagementController.php:LOC=935 deps=0
src/Controller/Admin/ComplianceImportController.php:LOC=927 deps=0
src/Controller/ProcessingActivityController.php:LOC=848 deps=0
src/Controller/DPIAController.php:LOC=838 deps=0
src/Controller/ComplianceWizardController.php:LOC=814 deps=0
src/Controller/AssetController.php:LOC=812 deps=0
src/Controller/AdminBackupController.php:LOC=802 deps=0
src/Controller/AnalyticsController.php:LOC=743 deps=0
src/Controller/MonitoringController.php:LOC=727 deps=0
src/Controller/QuickFixController.php:LOC=712 deps=0
src/Controller/AuditController.php:LOC=682 deps=0
src/Controller/ComplianceMappingAdminController.php:LOC=681 deps=0
src/Controller/DataBreachController.php:LOC=635 deps=0
src/Controller/TrainingController.php:LOC=633 deps=0
src/Service/ScheduledReportService.php:LOC=619 deps=22
src/Controller/Tisax/TisaxImportWizardController.php:LOC=604 deps=0
src/Service/DataIntegrity/HealthIssueAggregator.php:LOC=457 deps=17
src/Service/DataIntegrityService.php:LOC=438 deps=34
src/Service/DataIntegrity/EntityCountAggregator.php:LOC=158 deps=18
src/Service/Tisax/Dto/VdaIsaControlRow.php:LOC=125 deps=21
